,Date,Open,Close,Low,High,Volume
14310,1456808400,1.088195,1.08853,1.08804,1.088705,0.0
14311,1456812000,1.08853,1.088345,1.088055,1.08936,0.0
14312,1456815600,1.088345,1.087615,1.08672,1.08858,0.0
14313,1456819200,1.087615,1.08734,1.08585,1.08863,0.0
14314,1456822800,1.08734,1.08617,1.08572,1.08853,0.0
14315,1456826400,1.08617,1.087265,1.08591,1.08786,0.0
14316,1456830000,1.087265,1.08751,1.08564,1.087605,0.0
14317,1456833600,1.08751,1.08789,1.087005,1.0879,0.0
14318,1456837200,1.08789,1.088015,1.08708,1.08851,0.0
14319,1456840800,1.088015,1.08576,1.08521,1.088015,0.0
14320,1456844400,1.08576,1.085955,1.08356,1.087395,0.0
14321,1456848000,1.085955,1.08467,1.08343,1.08611,0.0
14322,1456851600,1.08467,1.08578,1.083585,1.08589,0.0
14323,1456855200,1.08578,1.08696,1.08557,1.087135,0.0
14324,1456858800,1.08696,1.086555,1.086465,1.08718,0.0
14325,1456862400,1.086555,1.0868,1.08613,1.087305,0.0
14326,1456866000,1.0868,1.086815,1.086405,1.08762,0.0
14327,1456869600,1.086815,1.086695,1.08622,1.08692,0.0
14328,1456873200,1.086695,1.087635,1.086695,1.087635,0.0
14329,1456876800,1.087635,1.08744,1.087125,1.088115,0.0
14330,1456880400,1.08744,1.08679,1.08678,1.087635,0.0
14331,1456884000,1.08679,1.086335,1.086215,1.086915,0.0
14332,1456887600,1.086335,1.08587,1.085865,1.086535,0.0
14333,1456891200,1.08587,1.08582,1.085385,1.08599,0.0
14334,1456894800,1.08582,1.086035,1.08566,1.08643,0.0
14335,1456898400,1.086035,1.085015,1.08499,1.086715,0.0
14336,1456902000,1.085015,1.086035,1.08469,1.08657,0.0
14337,1456905600,1.086035,1.086365,1.085635,1.0876,0.0
14338,1456909200,1.086365,1.08704,1.08555,1.08742,0.0
14339,1456912800,1.08704,1.08556,1.0854,1.0871,0.0
14340,1456916400,1.08556,1.0853,1.08478,1.08636,0.0
14341,1456920000,1.0853,1.085665,1.08477,1.085695,0.0
14342,1456923600,1.085665,1.08435,1.08396,1.086305,0.0
14343,1456927200,1.08435,1.08391,1.08294,1.08525,0.0
14344,1456930800,1.08391,1.08276,1.08257,1.0847,0.0
14345,1456934400,1.08276,1.084425,1.08258,1.084465,0.0
14346,1456938000,1.084425,1.085265,1.08403,1.085405,0.0
14347,1456941600,1.085265,1.0869,1.08489,1.086965,0.0
14348,1456945200,1.0869,1.08646,1.086335,1.087265,0.0
14349,1456948800,1.08646,1.086605,1.08633,1.08692,0.0
14350,1456952400,1.086605,1.08681,1.086375,1.08708,0.0
14351,1456956000,1.08681,1.08695,1.08651,1.08732,0.0
14352,1456959600,1.08695,1.086945,1.0865,1.087065,0.0
14353,1456963200,1.086945,1.086985,1.086435,1.087355,0.0
14354,1456966800,1.086985,1.087245,1.0867,1.087405,0.0
14355,1456970400,1.087245,1.086675,1.086115,1.087495,0.0
14356,1456974000,1.086675,1.085725,1.085695,1.08681,0.0
14357,1456977600,1.085725,1.08587,1.085595,1.08614,0.0
14358,1456981200,1.08587,1.08585,1.08536,1.085885,0.0
14359,1456984800,1.08585,1.08593,1.08564,1.08635,0.0
14360,1456988400,1.08593,1.08694,1.08585,1.08695,0.0
14361,1456992000,1.08694,1.087535,1.08596,1.087675,0.0
14362,1456995600,1.087535,1.08666,1.08635,1.087745,0.0
14363,1456999200,1.08666,1.08794,1.08666,1.08828,0.0
14364,1457002800,1.08794,1.08807,1.08736,1.08877,0.0
14365,1457006400,1.08807,1.090675,1.087605,1.090825,0.0
14366,1457010000,1.090675,1.09074,1.089325,1.09103,0.0
14367,1457013600,1.09074,1.092605,1.08942,1.09285,0.0
14368,1457017200,1.092605,1.09327,1.09166,1.093905,0.0
14369,1457020800,1.09327,1.094665,1.092805,1.09726,0.0
14370,1457024400,1.094665,1.094555,1.093305,1.095285,0.0
14371,1457028000,1.094555,1.09685,1.09447,1.096905,0.0
14372,1457031600,1.09685,1.09556,1.095145,1.09685,0.0
14373,1457035200,1.09556,1.09617,1.09556,1.096625,0.0
14374,1457038800,1.09617,1.09569,1.09555,1.096445,0.0
14375,1457042400,1.09569,1.09493,1.094695,1.095885,0.0
14376,1457046000,1.09493,1.09457,1.094505,1.09521,0.0
14377,1457049600,1.09457,1.09511,1.094265,1.095325,0.0
14378,1457053200,1.09511,1.094415,1.094055,1.095545,0.0
14379,1457056800,1.094415,1.09367,1.093655,1.09467,0.0
14380,1457060400,1.09367,1.09453,1.093535,1.09497,0.0
14381,1457064000,1.09453,1.09465,1.0942,1.094815,0.0
14382,1457067600,1.09465,1.095275,1.094405,1.09556,0.0
14383,1457071200,1.095275,1.094665,1.0946,1.095695,0.0
14384,1457074800,1.094665,1.09509,1.09447,1.09544,0.0
14385,1457078400,1.09509,1.093865,1.09285,1.095255,0.0
14386,1457082000,1.093865,1.09628,1.093855,1.097395,0.0
14387,1457085600,1.09628,1.09816,1.09626,1.098565,0.0
14388,1457089200,1.09816,1.09837,1.09786,1.09902,0.0
14389,1457092800,1.09837,1.09715,1.096685,1.09868,0.0
14390,1457096400,1.09715,1.097955,1.090345,1.09848,0.0
14391,1457100000,1.097955,1.10258,1.095895,1.10396,0.0
14392,1457103600,1.10258,1.100795,1.098745,1.104355,0.0
14393,1457107200,1.100795,1.100995,1.100225,1.10284,0.0
14394,1457110800,1.100995,1.09981,1.099075,1.101415,0.0
14395,1457114400,1.09981,1.09945,1.09901,1.10016,0.0
14396,1457118000,1.09945,1.09979,1.09905,1.09997,0.0
14397,1457121600,1.09979,1.100175,1.09918,1.10022,0.0
14398,1457125200,1.100175,1.10052,1.10013,1.101245,0.0
14399,1457298000,1.099125,1.099245,1.098385,1.099435,0.0
14400,1457301600,1.099245,1.099225,1.098855,1.09955,0.0
14401,1457305200,1.099225,1.099145,1.09884,1.09974,0.0
14402,1457308800,1.099145,1.099535,1.099,1.09959,0.0
14403,1457312400,1.099535,1.09866,1.098385,1.099705,0.0
14404,1457316000,1.09866,1.099,1.09856,1.09937,0.0
14405,1457319600,1.099,1.098925,1.098695,1.099335,0.0
14406,1457323200,1.098925,1.099,1.09874,1.09912,0.0
14407,1457326800,1.099,1.099255,1.098895,1.099335,0.0
14408,1457330400,1.099255,1.099095,1.098975,1.099445,0.0
14409,1457334000,1.099095,1.096975,1.096605,1.09935,0.0
14410,1457337600,1.096975,1.094825,1.094415,1.097435,0.0
14411,1457341200,1.094825,1.095455,1.094715,1.09623,0.0
14412,1457344800,1.095455,1.09534,1.095055,1.095935,0.0
14413,1457348400,1.09534,1.095075,1.094025,1.09556,0.0
14414,1457352000,1.095075,1.094925,1.09477,1.097265,0.0
14415,1457355600,1.094925,1.095895,1.094825,1.09652,0.0
14416,1457359200,1.095895,1.09498,1.094855,1.095955,0.0
14417,1457362800,1.09498,1.098395,1.09465,1.098585,0.0
14418,1457366400,1.098395,1.100365,1.09764,1.10116,0.0
14419,1457370000,1.100365,1.102135,1.100365,1.1025,0.0
14420,1457373600,1.102135,1.100595,1.100385,1.10258,0.0
14421,1457377200,1.100595,1.10159,1.100295,1.101775,0.0
14422,1457380800,1.10159,1.101235,1.100865,1.10171,0.0
14423,1457384400,1.101235,1.10143,1.100875,1.1018,0.0
14424,1457388000,1.10143,1.10151,1.101095,1.101615,0.0
14425,1457391600,1.10151,1.10127,1.101145,1.10177,0.0
14426,1457395200,1.10127,1.10178,1.101175,1.102105,0.0
14427,1457398800,1.10178,1.10179,1.101165,1.10237,0.0
14428,1457402400,1.10179,1.10249,1.10179,1.102865,0.0
14429,1457406000,1.10249,1.10179,1.10177,1.10258,0.0
14430,1457409600,1.10179,1.101575,1.101485,1.102125,0.0
14431,1457413200,1.101575,1.101755,1.101465,1.10241,0.0
14432,1457416800,1.101755,1.10207,1.10157,1.102375,0.0
14433,1457420400,1.10207,1.103535,1.101925,1.10418,0.0
14434,1457424000,1.103535,1.10281,1.101655,1.104465,0.0
14435,1457427600,1.10281,1.10139,1.10117,1.10388,0.0
14436,1457431200,1.10139,1.101755,1.100705,1.10307,0.0
14437,1457434800,1.101755,1.101475,1.100175,1.101755,0.0
14438,1457438400,1.101475,1.101395,1.10075,1.102665,0.0
14439,1457442000,1.101395,1.103275,1.10132,1.103645,0.0
14440,1457445600,1.103275,1.10418,1.10293,1.105595,0.0
14441,1457449200,1.10418,1.10569,1.10281,1.1057,0.0
14442,1457452800,1.10569,1.10272,1.10241,1.105775,0.0
14443,1457456400,1.10272,1.101845,1.101295,1.10344,0.0
14444,1457460000,1.101845,1.099765,1.09937,1.101865,0.0
14445,1457463600,1.099765,1.10023,1.099415,1.10104,0.0
14446,1457467200,1.10023,1.100555,1.099985,1.101115,0.0
14447,1457470800,1.100555,1.10108,1.100445,1.10116,0.0
14448,1457474400,1.10108,1.100635,1.10058,1.10113,0.0
14449,1457478000,1.100635,1.100055,1.09952,1.10064,0.0
14450,1457481600,1.100055,1.09958,1.09923,1.10066,0.0
14451,1457485200,1.09958,1.0983,1.097535,1.0997,0.0
14452,1457488800,1.0983,1.09774,1.0974,1.098405,0.0
14453,1457492400,1.09774,1.09724,1.09709,1.09804,0.0
14454,1457496000,1.09724,1.097325,1.096735,1.097575,0.0
14455,1457499600,1.097325,1.09755,1.09711,1.09764,0.0
14456,1457503200,1.09755,1.097755,1.097175,1.098205,0.0
14457,1457506800,1.097755,1.09853,1.097235,1.09897,0.0
14458,1457510400,1.09853,1.09764,1.09618,1.09855,0.0
14459,1457514000,1.09764,1.09704,1.09674,1.09795,0.0
14460,1457517600,1.09704,1.09634,1.095505,1.09759,0.0
14461,1457521200,1.09634,1.09725,1.09589,1.09725,0.0
14462,1457524800,1.09725,1.096955,1.09664,1.097955,0.0
14463,1457528400,1.096955,1.095055,1.094805,1.097845,0.0
14464,1457532000,1.095055,1.096345,1.094625,1.096525,0.0
14465,1457535600,1.096345,1.10066,1.095875,1.101775,0.0
14466,1457539200,1.10066,1.1021,1.100475,1.10297,0.0
14467,1457542800,1.1021,1.10286,1.10188,1.10349,0.0
14468,1457546400,1.10286,1.10185,1.10133,1.103115,0.0
14469,1457550000,1.10185,1.10021,1.099855,1.10199,0.0
14470,1457553600,1.10021,1.10045,1.09969,1.10085,0.0
14471,1457557200,1.10045,1.10001,1.09992,1.10063,0.0
14472,1457560800,1.10001,1.099685,1.099645,1.10043,0.0
14473,1457564400,1.099685,1.098585,1.098405,1.100055,0.0
14474,1457568000,1.098585,1.098275,1.098065,1.09929,0.0
14475,1457571600,1.098275,1.09827,1.09704,1.098565,0.0
14476,1457575200,1.09827,1.09847,1.09802,1.09867,0.0
14477,1457578800,1.09847,1.097255,1.097125,1.098705,0.0
14478,1457582400,1.097255,1.09767,1.09717,1.097685,0.0
14479,1457586000,1.09767,1.098135,1.09755,1.098135,0.0
14480,1457589600,1.098135,1.09735,1.09733,1.098225,0.0
14481,1457593200,1.09735,1.09678,1.09631,1.0976,0.0
14482,1457596800,1.09678,1.096375,1.09609,1.09773,0.0
14483,1457600400,1.096375,1.096745,1.09602,1.09704,0.0
14484,1457604000,1.096745,1.09782,1.09657,1.09862,0.0
14485,1457607600,1.09782,1.09741,1.09636,1.097985,0.0
14486,1457611200,1.09741,1.084565,1.08435,1.09889,0.0
14487,1457614800,1.084565,1.091745,1.08224,1.09655,0.0
14488,1457618400,1.091745,1.104155,1.091095,1.1115,0.0
14489,1457622000,1.104155,1.114925,1.104125,1.115945,0.0
14490,1457625600,1.114925,1.115885,1.113645,1.11945,0.0
14491,1457629200,1.115885,1.11935,1.11484,1.121765,0.0
14492,1457632800,1.11935,1.120025,1.11869,1.120375,0.0
14493,1457636400,1.120025,1.119855,1.119485,1.12154,0.0
14494,1457640000,1.119855,1.11787,1.117535,1.11992,0.0
14495,1457643600,1.11787,1.11778,1.117735,1.118625,0.0
14496,1457647200,1.11778,1.117985,1.117455,1.118385,0.0
14497,1457650800,1.117985,1.11766,1.117,1.118525,0.0
14498,1457654400,1.11766,1.11845,1.117385,1.119445,0.0
14499,1457658000,1.11845,1.118455,1.11816,1.120985,0.0
14500,1457661600,1.118455,1.11765,1.11744,1.11854,0.0
14501,1457665200,1.11765,1.116695,1.11658,1.11798,0.0
14502,1457668800,1.116695,1.116775,1.11633,1.11743,0.0
14503,1457672400,1.116775,1.11762,1.11659,1.117635,0.0
